msno,city,bd,gender,registered_via,registration_init_time,age,registration_date,registration_year,registration_month,transaction_count,avg_plan_days,avg_plan_price,avg_amount_paid,auto_renew_rate,cancel_rate,is_churn
JTUYu+bl40zPyTULsCWRscHycVk+CE33ui5aPqxyM1A=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
CZW4qIwqRotmPpfHnDtAnKcjvQnuWRglSqPRX9W5Jbs=,13.0,22.0,male,9.0,20141013.0,22.0,2014-10-13,2014.0,10.0,2.0,30.0,149.0,149.0,1.0,0.0,0
qTAO1W2eMwm6yI6vBpZ+0/cELQOlbW97hIuGpkQsU+8=,1.0,0.0,,7.0,20160810.0,,2016-08-10,2016.0,8.0,1.0,30.0,99.0,99.0,1.0,0.0,0
f8XGvQOQg0qIqWXSoeyB/kvtV55phk1cfeDDsbi76bQ=,,,,,,,,,,1.0,30.0,149.0,149.0,1.0,0.0,0
rivIJ8Z9vfvs0EQfw5fmvqome7WbQbjh9dGDChNxgXo=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
C8Nh2cjBYq8SSorLlCmTDw2mHwNXDNAGg9WSe1wjIxo=,1.0,0.0,,7.0,20160321.0,,2016-03-21,2016.0,3.0,1.0,30.0,99.0,99.0,1.0,0.0,0
C/O/o2HyIbADXER/b05OoZ27eY8Glr9bDWAe1kaL120=,1.0,0.0,,7.0,20161027.0,,2016-10-27,2016.0,10.0,1.0,30.0,99.0,99.0,1.0,0.0,0
42wIx+CkkfSQtAIfDyFr8VxS0H/Ed4e4XGnbW9NdZxE=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
di+p3IYO5ZThfy74kziGTndleBAmKORTHBmMo7plb44=,1.0,0.0,,7.0,20161122.0,,2016-11-22,2016.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
i26EdpIXNIOIFql7XJk4xlg2Yg6xJVKgzy2vqN183Ds=,1.0,0.0,,7.0,20160702.0,,2016-07-02,2016.0,7.0,1.0,30.0,99.0,99.0,1.0,0.0,0
Ru2TXIayKC6rbRKWUNdM0LDN1P0SSuisnq6uFkwpstU=,1.0,0.0,,7.0,20120220.0,,2012-02-20,2012.0,2.0,6.0,30.0,99.0,99.0,1.0,0.0,1
kPOftLQSgVrIHWk1ujvyL5cr3waBJE9nhohmezV5HAk=,22.0,41.0,male,3.0,20120218.0,41.0,2012-02-18,2012.0,2.0,1.0,30.0,149.0,149.0,1.0,0.0,0
6lMgYCEwr2q9lrN4FfYReVcEM6iT998dTHCctceMxOM=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
17b3kmF6K4nM5AZb5HJlaAJmst8BUgFeC5dVV+UuEyY=,5.0,0.0,female,9.0,20040409.0,,2004-04-09,2004.0,4.0,1.0,30.0,149.0,149.0,1.0,0.0,0
qOGr9xhb8bhn5NNDqrweWk3wOOexy16EOqZNvQjyXxA=,1.0,0.0,,7.0,20151027.0,,2015-10-27,2015.0,10.0,1.0,30.0,99.0,99.0,1.0,0.0,0
sviKLhkdkXx3iQ935XwM5yPxpzr0TRpCKxRbkCgissU=,1.0,0.0,,7.0,20150819.0,,2015-08-19,2015.0,8.0,1.0,30.0,99.0,99.0,1.0,0.0,0
ei7brHIAw36a5cKIVp+BJ/0RQqnZLD1VMjnS/3Hqkos=,1.0,0.0,,7.0,20160818.0,,2016-08-18,2016.0,8.0,1.0,30.0,129.0,129.0,1.0,0.0,0
0ggAGTxpCzPKdTHOh5PRTaobLFFrVpsF6AnruteQKRE=,13.0,32.0,female,7.0,20111229.0,32.0,2011-12-29,2011.0,12.0,1.0,30.0,99.0,99.0,1.0,0.0,0
Zb2dTSJTf2Mw0EkNkm5mKYg5UcsKHbEhFzutVAg0hAo=,17.0,24.0,female,9.0,20070414.0,24.0,2007-04-14,2007.0,4.0,2.0,30.0,149.0,149.0,1.0,0.0,0
Xo2A3cj5ylb+oK8tGXg8LQAAaisRPe2tJO0OD/m61YU=,3.0,28.0,male,9.0,20070719.0,28.0,2007-07-19,2007.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
VIQkpbIA2JMShw4+t1oX80Faat+JgKmJaRdiE42w8Qk=,22.0,25.0,female,9.0,20100922.0,25.0,2010-09-22,2010.0,9.0,1.0,30.0,149.0,149.0,1.0,0.0,0
iev8ytAi75LUrjccvkxmV5MX7FxawIfybzVfmAYiITs=,22.0,27.0,female,9.0,20040722.0,27.0,2004-07-22,2004.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
T0aCW21v2c8cmvBvW8PMCorsBDfQUgNUwF+dE1Nwq5w=,1.0,0.0,,7.0,20160615.0,,2016-06-15,2016.0,6.0,1.0,30.0,99.0,99.0,1.0,0.0,0
w1Af0kA23Ff2vuvo3azUFi/39iaub+cyrYWtLGbSlCo=,6.0,27.0,male,9.0,20130804.0,27.0,2013-08-04,2013.0,8.0,2.0,30.0,149.0,149.0,1.0,0.5,0
GTpTyBcT3+b8Ca9LXi/7eZ9RtuGfrajKLmdbM27D9Ro=,13.0,25.0,male,4.0,20151112.0,25.0,2015-11-12,2015.0,11.0,1.0,30.0,180.0,180.0,1.0,0.0,0
ZnOJ29v3VZ2V+7vTRo0ljksbbBEP50kVVQZvvPlpBC0=,1.0,0.0,,7.0,20130724.0,,2013-07-24,2013.0,7.0,1.0,30.0,99.0,99.0,1.0,0.0,0
uDtOJWTzmF6z9rmfzYILa8Z2mRS//bjL9lUKh6xy42Y=,1.0,0.0,,7.0,20151129.0,,2015-11-29,2015.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
WpOk2MEIOpvcfVY3ZsGyYI0lMfCIYRFd361rWvU4hI8=,6.0,27.0,male,9.0,20100731.0,27.0,2010-07-31,2010.0,7.0,2.0,30.0,149.0,149.0,1.0,0.0,0
wSVVCUUQmdi0ySrWSvklMreIyJcC1nXgBLzvTeJl9sY=,1.0,0.0,,7.0,20130726.0,,2013-07-26,2013.0,7.0,1.0,30.0,99.0,99.0,1.0,0.0,0
CP4cvlVU7Cy4NoWvJ1OYqfnqKt6YtEGCkp2xbmd/Uok=,12.0,20.0,male,3.0,20140820.0,20.0,2014-08-20,2014.0,8.0,,,,,,,1
FVjkZc6Srx4hfpVjxHoc96LD804Fm/IElOq6Eyam52A=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
eWNUxjTslsNGKwRvyDw6qaz6Z+m7g3NhMmWt8Yb1G3o=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
gUnEFWM8X2FA4h8hAM+hwNRzYBikqNLIncz823eDseg=,18.0,25.0,male,4.0,20161205.0,25.0,2016-12-05,2016.0,12.0,1.0,30.0,149.0,149.0,0.0,0.0,0
nASecn/6d1pA2qnWcmvUhPzTpMCPIS8RVjDWriQb7iY=,1.0,0.0,,4.0,20151009.0,,2015-10-09,2015.0,10.0,1.0,30.0,149.0,149.0,0.0,0.0,0
l6kRZ8/cZy5jukU92Bf52/Xs5VIxJ2jW36jdTHpDgL8=,5.0,24.0,male,9.0,20100424.0,24.0,2010-04-24,2010.0,4.0,2.0,30.0,149.0,149.0,1.0,0.5,0
t6PEF+vGkARdPs5WNAhKtyz/LkLFl3w/oDo4R6OK/mI=,1.0,0.0,,7.0,20120816.0,,2012-08-16,2012.0,8.0,1.0,30.0,129.0,129.0,1.0,0.0,0
OAIyBA+6VNZOPzHAD6uOslmxjtFMuNTi76s5lxrETlE=,4.0,0.0,,9.0,20170125.0,,2017-01-25,2017.0,1.0,2.0,30.0,149.0,149.0,1.0,0.0,0
FhwspeIKt01r4yxJudYR/2eGCwbN8WGjiY/vwJHjP+E=,1.0,0.0,,7.0,20100723.0,,2010-07-23,2010.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
ipe71svV8g2XG0ZwIZF/+fCgsQF32WoaL63fqITnfZk=,1.0,0.0,,3.0,20140712.0,,2014-07-12,2014.0,7.0,1.0,30.0,149.0,149.0,0.0,0.0,1
seiyEL/zYv0Evd4jZdbyJQl2nl107zlpM9wvpjguLIQ=,1.0,0.0,,7.0,20170113.0,,2017-01-13,2017.0,1.0,1.0,30.0,99.0,99.0,1.0,0.0,0
Dd0J7IkWMHJNL/8WNYTkGzc35ttWqpXTOTn88A9cH8A=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
AoJSKlcMngVtmMv/zytLNAoD9LphzM4o1QHyezKVX1E=,22.0,0.0,,3.0,20130108.0,,2013-01-08,2013.0,1.0,2.0,30.0,180.0,180.0,1.0,0.0,0
20veIYIkpSloLvNigXvFjSud8xNeea9BMYR5AixQAR8=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
h1glgiNwPIYx9/vrcSKM7vtVRfP3pakocAymqmrVrxs=,15.0,41.0,male,3.0,20130217.0,41.0,2013-02-17,2013.0,2.0,1.0,30.0,180.0,180.0,1.0,0.0,0
6fJOaipqHBBC88EcMz2gjPmXdPH6Wp/P5KWkQOrJSiE=,14.0,32.0,female,9.0,20090402.0,32.0,2009-04-02,2009.0,4.0,1.0,30.0,149.0,149.0,1.0,0.0,0
nufw4X+siltVVlO04apLurqmT+pROxKzX1H9lOjuIyA=,1.0,0.0,,7.0,20140208.0,,2014-02-08,2014.0,2.0,1.0,30.0,99.0,99.0,1.0,0.0,0
uzAFDrRhzeVOf3vodHLG4R9mcgSRNw1mdSuZJN/E0fY=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
gQtjyI3PkfdLAOJEMJY9ItNd8lq+4sxZmcDMAex1nNM=,13.0,22.0,male,7.0,20141109.0,22.0,2014-11-09,2014.0,11.0,1.0,30.0,149.0,149.0,1.0,0.0,0
7iRkTIQOcjOSKM5SyzkKVvREE6WIQMwG2Ct4CInn+OA=,1.0,0.0,,7.0,20151116.0,,2015-11-16,2015.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
Y6rPupZt8nlKc2RUQduvjYXN2MIJH2GLSkuVZ01V3dM=,13.0,27.0,female,9.0,20070725.0,27.0,2007-07-25,2007.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
uUsKbDwolDVcnUeGbv4wk+MzAgPb1FlPS38F0ymzW+I=,5.0,45.0,female,3.0,20120802.0,45.0,2012-08-02,2012.0,8.0,2.0,30.0,149.0,149.0,1.0,0.0,0
q0NliaZyIo+pZrpMKIUSnAq8mOeSISANK1cZJlmsFCA=,5.0,22.0,female,7.0,20140817.0,22.0,2014-08-17,2014.0,8.0,1.0,30.0,149.0,149.0,1.0,0.0,0
c5zayQHAGB+VLRTLiyWMlH0igQN28Y+40eG95YfvVlk=,1.0,0.0,,7.0,20161019.0,,2016-10-19,2016.0,10.0,1.0,30.0,99.0,99.0,1.0,0.0,0
CiBVNuCJLXzhBbL9Hf+W3LVBnCX/C/rb3uqPMCsw49M=,6.0,30.0,female,9.0,20070423.0,30.0,2007-04-23,2007.0,4.0,1.0,30.0,149.0,149.0,1.0,0.0,0
Apup07xxvKfuAfxtwhPIVPmH7Qn/t5r4hPSL48pBUGk=,13.0,31.0,female,3.0,20121227.0,31.0,2012-12-27,2012.0,12.0,1.0,30.0,180.0,180.0,1.0,1.0,1
SOpwuf34eXVssTxK3+Lq4prEEApRzuBBkvT76YdYgas=,13.0,52.0,male,9.0,20120327.0,52.0,2012-03-27,2012.0,3.0,1.0,30.0,149.0,149.0,1.0,0.0,0
76yg3/nG9IG37htFaddJauKSxxuRnJTzyLZ72+r854Q=,1.0,0.0,,7.0,20150803.0,,2015-08-03,2015.0,8.0,1.0,30.0,99.0,99.0,1.0,0.0,0
SCpAOHaj/DUWQnWtq89FJk4ECtI5ziZD9EzoSAVfzuQ=,1.0,0.0,,7.0,20120327.0,,2012-03-27,2012.0,3.0,1.0,30.0,99.0,99.0,1.0,0.0,0
lF6K8JFxjdloGCsiw3f620NFwV3mISiRzURPwzM89ho=,1.0,0.0,,9.0,20141104.0,,2014-11-04,2014.0,11.0,1.0,30.0,149.0,149.0,0.0,0.0,0
NKkFRYZ8wvKRp5qBCvjTMQPf3QXfLhz1m82fP3Pv4gg=,15.0,30.0,female,3.0,20130903.0,30.0,2013-09-03,2013.0,9.0,1.0,30.0,149.0,149.0,1.0,0.0,0
htGCnlnuEDVV+fuOkEsNM/BUINY7Q8R+nNLk7u1K+9s=,1.0,0.0,,7.0,20170208.0,,2017-02-08,2017.0,2.0,1.0,30.0,129.0,129.0,1.0,0.0,0
UHj1OhQifqXU5mWiq33/f9U0erf34U6vWlyUrhaCO9w=,1.0,0.0,,7.0,20140805.0,,2014-08-05,2014.0,8.0,1.0,30.0,129.0,129.0,1.0,0.0,0
a2imjmdaAIOynPvGeQ1S/8v/quoqBgXKG1zCDMWb7mY=,1.0,0.0,,7.0,20161222.0,,2016-12-22,2016.0,12.0,1.0,30.0,99.0,99.0,1.0,0.0,0
T3/xBuvWIkyN/qMCDpVDjXvqRyUGoXy6bdtwfXKYBp4=,6.0,25.0,male,7.0,20151231.0,25.0,2015-12-31,2015.0,12.0,1.0,30.0,129.0,129.0,1.0,0.0,0
slTFvizWipaDs27rud9255AWdptHeqggBDwF7L9CrgQ=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
x0BqxmokaXHBwHrEQsdFBT1cr7hDkAJ5JULf2aw6ENw=,1.0,0.0,,7.0,20160709.0,,2016-07-09,2016.0,7.0,1.0,30.0,99.0,99.0,1.0,0.0,0
pZaQS+chAOCpw+H8DJDuQ74YuUksUXjN7juCO3R1trw=,5.0,31.0,female,7.0,20140308.0,31.0,2014-03-08,2014.0,3.0,1.0,30.0,149.0,149.0,1.0,0.0,0
DtNXb98gBhvs0nJetiv7inY2c+SxeSTJCKSf4sf8Dzw=,11.0,37.0,female,9.0,20080406.0,37.0,2008-04-06,2008.0,4.0,1.0,30.0,149.0,149.0,1.0,0.0,0
FQCovbrYnNEbRc5hEhqVtHcSB+/C6EdY/X/fN1s9dk0=,15.0,19.0,male,9.0,20080518.0,19.0,2008-05-18,2008.0,5.0,2.0,30.0,149.0,149.0,1.0,0.0,0
EmRbdjV4DLtDoEwJM/NtLxaQZ0vDXDlG9195dR99lxc=,9.0,17.0,male,4.0,20161111.0,17.0,2016-11-11,2016.0,11.0,1.0,30.0,149.0,149.0,0.0,0.0,1
8kSOYqXaM9su79oA3LJUC8L11CzqUlvYsF+bwaOhVl0=,12.0,27.0,male,3.0,20130308.0,27.0,2013-03-08,2013.0,3.0,2.0,30.0,149.0,149.0,1.0,0.0,0
RG/8emxd4qUbyGE9ekc+iOdwt7NTrG1LOQuKVUH0rrc=,10.0,27.0,male,9.0,20080515.0,27.0,2008-05-15,2008.0,5.0,1.0,30.0,180.0,180.0,0.0,0.0,0
QCNknu1C2RsA2KIJHrNtRNX/YpRk8uYneqkc8oYO0NE=,22.0,24.0,male,3.0,20130121.0,24.0,2013-01-21,2013.0,1.0,,,,,,,1
ixDu4kNQNSCInEZ9NAEDEL2cT6TPs9oWEcEc2/3YrWE=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
GHHQS/HEkz3sydbbjUMXCCWIUVDkjQkOPUmAzaCH0qw=,1.0,0.0,,7.0,20161115.0,,2016-11-15,2016.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
eJD9elV8TrwJIxNPWJZgyO0KjtOQStmOjg/dnu4Q+40=,1.0,0.0,,7.0,20110324.0,,2011-03-24,2011.0,3.0,1.0,30.0,149.0,149.0,1.0,0.0,0
/HKNKrV/MHPdMg5KO9xHiKNxC9SbrrCiBhHbNrSjslI=,1.0,0.0,,7.0,20141010.0,,2014-10-10,2014.0,10.0,1.0,30.0,149.0,149.0,1.0,0.0,0
9NrVyVAzynHPSWiO0MzL3j4O6vWHdVIxYrC7X5RAHWk=,22.0,26.0,female,9.0,20111120.0,26.0,2011-11-20,2011.0,11.0,2.0,30.0,149.0,149.0,1.0,0.0,0
usMn/aSrXiRrnRA1lpv4fWnMNE72f8woBdvXRxaX/mc=,1.0,0.0,,7.0,20130728.0,,2013-07-28,2013.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
1UFM5/DV8I3ImQzhBN39jQ33IuvbhLYcsHssszPVTR4=,1.0,0.0,,7.0,20160618.0,,2016-06-18,2016.0,6.0,1.0,30.0,99.0,99.0,1.0,0.0,0
Cppfsyu4R77xER+OeW4dbemU1D/odeVEZIhYgTtCguY=,1.0,0.0,,7.0,20160320.0,,2016-03-20,2016.0,3.0,1.0,30.0,149.0,149.0,1.0,0.0,0
d/Q5X3nf0YbII92g7SSz46o9Jsg8U37M6jDjuHunUpY=,1.0,0.0,,4.0,20161003.0,,2016-10-03,2016.0,10.0,1.0,30.0,180.0,180.0,1.0,0.0,0
s72IGS8vOkcbTkSOBOylhg5Tfqhku5ek47NBQKlKv7I=,,,,,,,,,,1.0,30.0,149.0,149.0,1.0,0.0,0
9FpaZ05mZaTarPyM2Rqlfc6JYhDn3pELn9BCi/Z0APw=,22.0,26.0,male,9.0,20080512.0,26.0,2008-05-12,2008.0,5.0,1.0,30.0,149.0,149.0,1.0,0.0,0
/dz0xgsaVI3+v8j0D72eigzpZWoZ6Ldo++vNTXDksYw=,4.0,31.0,female,7.0,20110813.0,31.0,2011-08-13,2011.0,8.0,1.0,30.0,149.0,149.0,1.0,0.0,0
Awv82Wquq0Q89khXzt46pDqSaCrlN5qEAEjk0TTpf/w=,13.0,22.0,male,9.0,20151005.0,22.0,2015-10-05,2015.0,10.0,1.0,30.0,149.0,149.0,1.0,0.0,0
6yhCxdbnA/O9H367i0aoM7xlknu6FntRcIPC4pGHyRc=,1.0,0.0,,7.0,20110325.0,,2011-03-25,2011.0,3.0,1.0,30.0,129.0,129.0,1.0,0.0,0
HCxHIv2jt0Cr21HzQTBfi9mW+g5toihFaSsP228IbTA=,1.0,0.0,,7.0,20120324.0,,2012-03-24,2012.0,3.0,1.0,30.0,129.0,129.0,1.0,0.0,0
A6BhthNFJa5AKUj2HSGojkK7GFF6n1AkILl+rabQQ18=,3.0,38.0,male,9.0,20110315.0,38.0,2011-03-15,2011.0,3.0,1.0,30.0,149.0,149.0,1.0,0.0,0
M8lUEIMPHJS+N2XjXXTb8OQueTY83R0T4YaDf3+WGAg=,1.0,0.0,,7.0,20150818.0,,2015-08-18,2015.0,8.0,1.0,30.0,99.0,99.0,1.0,0.0,0
g+DXp1IsNGI6/Fqo96j+IpJaTQMDfEnlFINtFTj0Hsg=,13.0,23.0,male,7.0,20130322.0,23.0,2013-03-22,2013.0,3.0,1.0,30.0,149.0,149.0,1.0,0.0,0
c+au2cta33iIqCLaFE+CAqa8+YBQwLRDFSPTs7tZ2G8=,4.0,34.0,male,7.0,20110917.0,34.0,2011-09-17,2011.0,9.0,1.0,30.0,149.0,149.0,1.0,0.0,0
ofhKsUiavC+Y97qxtQDqTCjWYb4sk04ecs0iKZY0OVU=,1.0,0.0,,7.0,20160331.0,,2016-03-31,2016.0,3.0,1.0,30.0,99.0,99.0,1.0,0.0,0
1QsH6auSmYku/rnNxOc0tfUcOASoQWSCelCEN1yNql4=,13.0,0.0,,3.0,20130328.0,,2013-03-28,2013.0,3.0,2.0,30.0,180.0,180.0,1.0,0.5,0
PXVK8MPXckQGi5GGAdYWfBPYOn2puDjQOUDir6NcAOg=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
vgGsU2UHujHjqd/Htb/hLlpEPRJndOwR1b3LKxNEMxc=,4.0,24.0,male,7.0,20151009.0,24.0,2015-10-09,2015.0,10.0,1.0,30.0,129.0,129.0,1.0,0.0,0
GIEnaNK+11jtwXoyIqRg9yq8UfE0dB2hLrkPVjl/0+c=,5.0,40.0,female,9.0,20160227.0,40.0,2016-02-27,2016.0,2.0,1.0,30.0,149.0,149.0,1.0,0.0,0
3rhI6Cnmn1o8ZKNkLsvo1KTh4BIITNr5wsdu4uGPkuQ=,1.0,0.0,,7.0,20111031.0,,2011-10-31,2011.0,10.0,1.0,30.0,99.0,99.0,1.0,0.0,0
IsYm7YkJwsyHePHfiS2kXlFiab8XsG7D2sY+DQgOiLM=,1.0,0.0,,7.0,20160319.0,,2016-03-19,2016.0,3.0,1.0,30.0,99.0,99.0,1.0,0.0,0
eFX8R2YdXKFtEmbVqcIEbPc3SOS49aJZf1mftZr3hnc=,5.0,31.0,female,7.0,20101020.0,31.0,2010-10-20,2010.0,10.0,1.0,30.0,100.0,100.0,1.0,0.0,0
XYpjuZKkJ+ZGSwZGmarofQnGXnPQnQ6UUNBoNoKo9eA=,1.0,0.0,,7.0,20161122.0,,2016-11-22,2016.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
aM9CdPoWWeR4neMJuVMeQhq4Z4R5usyCJFQW5+JNxHA=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
3Z+0zAKue+NBL9H+pkBCtypxOkLsDjDkFw1A4+wL4ow=,1.0,0.0,,7.0,20150815.0,,2015-08-15,2015.0,8.0,1.0,30.0,99.0,99.0,1.0,0.0,0
DP9xawsYCsQaYVrJGZIi+15BJSbsfBETUVOOYhTzxsk=,1.0,0.0,,7.0,20110608.0,,2011-06-08,2011.0,6.0,1.0,30.0,129.0,129.0,1.0,0.0,0
/QneKRcAcStp9wV1Yhyvm7oN8DB+gFysKMLpOYCAXvw=,6.0,26.0,male,9.0,20070903.0,26.0,2007-09-03,2007.0,9.0,1.0,30.0,149.0,149.0,1.0,0.0,0
IyFwmORBBDgQrC5WtClLB6awC9jgTQVI/I0263F63dM=,5.0,53.0,male,7.0,20150706.0,53.0,2015-07-06,2015.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
FMPNRunoV4je1F341Wjz+PpbFXQ+Hq+dNR7G7kjs1EI=,1.0,0.0,,4.0,20161222.0,,2016-12-22,2016.0,12.0,1.0,30.0,180.0,180.0,1.0,0.0,0
FglAys3Db13DmGmu0oXrqbP0V2Q8YcLNFzCiuKpUlM8=,1.0,0.0,,9.0,20140126.0,,2014-01-26,2014.0,1.0,1.0,30.0,149.0,149.0,0.0,0.0,0
VaKKkpaC3BRfU75POPvdobeVP+GbKSYZvPkNu2PssTI=,5.0,36.0,male,9.0,20101104.0,36.0,2010-11-04,2010.0,11.0,1.0,30.0,149.0,149.0,1.0,0.0,0
HcNCNQzN/TnC5Rb0QE3I9RnwLRttZJDdYj5w6ubuag4=,1.0,0.0,,7.0,20151122.0,,2015-11-22,2015.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
Nt8HQS2A0onLrax4LwjBUF8GMtgorNI+IbvnuUfyX04=,22.0,31.0,male,9.0,20160721.0,31.0,2016-07-21,2016.0,7.0,1.0,30.0,149.0,129.0,1.0,0.0,0
deSxWdN9oYOZw1OBGb6GPU6I0RFOf4M1Kwc044jnowA=,5.0,33.0,male,7.0,20120701.0,33.0,2012-07-01,2012.0,7.0,1.0,30.0,149.0,149.0,1.0,0.0,0
